--------- beginning of main
04-22 02:32:25.132  1396  1406 I PermissionControllerServiceImpl: Updating user sensitive for uid 10214
04-22 02:32:25.137   683   833 I system_server: AssetManager2(0xb400007aa8cd7c98) locale list changing from [] to [en-US]
04-22 02:32:25.139   683  1682 I system_server: AssetManager2(0xb400007aa8c88af8) locale list changing from [] to [en-US]
04-22 02:32:25.143  1591  1604 W gle.android.gms: Reducing the number of considered missed Gc histogram windows from 117 to 100
04-22 02:32:25.144   683  3256 E RoleControllerServiceImpl: Default/fallback role holder package doesn't qualify for the role, package: com.google.android.gms, role: android.app.role.WALLET
04-22 02:32:25.148   683   739 I system_server: AssetManager2(0xb400007aa8c8c338) locale list changing from [] to [en-US]
04-22 02:32:25.150   683   739 I system_server: AssetManager2(0xb400007aa8c907f8) locale list changing from [] to [en-US]
04-22 02:32:25.151   683   739 I system_server: AssetManager2(0xb400007aa8c89a98) locale list changing from [] to [en-US]
04-22 02:32:25.151  1559  1564 W .apps.wellbeing: Reducing the number of considered missed Gc histogram windows from 117 to 100
04-22 02:32:25.154   683  3256 I system_server: AssetManager2(0xb400007aa8c901b8) locale list changing from [] to [en-US]
04-22 02:32:25.155   683  3256 W SignedPackage: Cannot get ApplicationInfo for package: com.google.android.devicelockcontroller
04-22 02:32:25.164   683   833 I system_server: AssetManager2(0xb400007aa8c9a758) locale list changing from [] to [en-US]
04-22 02:32:25.165   683   833 I system_server: AssetManager2(0xb400007aa8c80df8) locale list changing from [] to [en-US]
04-22 02:32:25.167   683   833 I system_server: AssetManager2(0xb400007aa8c884b8) locale list changing from [] to [en-US]
--------- beginning of system
04-22 02:32:25.169   683   833 V AccessibilityManagerService: onUserStateChangedLocked for userId: 0, forceUpdate: false
04-22 02:32:25.170   683   833 W MagnificationConnectionManager: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
04-22 02:32:25.170   683   683 W IPCThreadState: Sending oneway calls to frozen process.
04-22 02:32:25.170   683   683 W IPCThreadState: Sending oneway calls to frozen process.
04-22 02:32:25.170   683   683 W IPCThreadState: Sending oneway calls to frozen process.
04-22 02:32:25.171   683   683 W IPCThreadState: Sending oneway calls to frozen process.
04-22 02:32:25.171   683   683 W IPCThreadState: Sending oneway calls to frozen process.
04-22 02:32:25.172   683   833 V AccessibilityManagerService: onUserStateChangedLocked for userId: 0, forceUpdate: false
04-22 02:32:25.173   683   833 W MagnificationConnectionManager: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
04-22 02:32:25.173   683   683 W IPCThreadState: Sending oneway calls to frozen process.
04-22 02:32:25.173   683   683 W IPCThreadState: Sending oneway calls to frozen process.
04-22 02:32:25.173   683   683 W IPCThreadState: Sending oneway calls to frozen process.
